Name,Metric,Area(um^2),Power(uW),Delay(ns)
max_1-2-60,0.006403,2088.37,nan,6598.390000
max_1-2-61,0.003345,2377.24,nan,5687.000000
max_1-2-62,0.001888,2371.92,nan,8188.200000
max_1-2-63,0.005192,2074.00,nan,8082.350000
max_1-2-64,0.005074,2071.34,nan,8075.760000
max_1-2-65,0.003401,2168.70,nan,8111.280000
max_1-2-66,0.003415,2071.87,nan,8068.010000
max_1-2-67,0.005242,2071.08,nan,8064.480000
max_1-2-68,0.003302,2075.60,nan,8090.760000
max_1-2-69,0.005232,2073.74,nan,8077.140000
max_1-2-70,0.003373,2079.59,nan,8174.610000
max_1-2-71,0.003379,2070.28,nan,8080.570000
max_1-2-72,0.003331,2116.30,nan,6742.300000
max_1-2-73,0.004836,1942.33,nan,6559.390000
max_1-2-74,0.003365,2072.94,nan,6811.190000
max_1-2-75,0.003140,2144.49,nan,8129.700000
max_1-2-76,0.004730,2338.41,nan,8075.700000
max_1-2-77,0.003211,2083.31,nan,8107.000000
max_1-2-78,0.003091,2153.00,nan,8103.970000
max_1-2-79,0.005292,2486.30,nan,6745.540000
max_1-2-80,0.003103,2359.15,nan,6123.280000
max_1-2-81,0.005358,2199.82,nan,6948.190000
max_1-2-82,0.002624,2123.74,nan,6977.610000
max_1-2-83,0.005182,2082.78,nan,8101.490000
max_1-2-84,0.003378,2067.35,nan,8266.960000
max_1-2-85,0.005272,2070.28,nan,8094.350000
max_1-2-86,0.003302,2144.76,nan,7465.880000
max_1-2-87,0.003316,2075.07,nan,8089.550000
max_1-2-88,0.003318,2052.46,nan,8061.290000
max_1-2-89,0.005023,2167.90,nan,7475.740000
max_1-2-90,0.005227,2070.54,nan,8080.210000
max_1-2-91,0.004789,2011.49,nan,7537.580000
max_1-2-92,0.004314,2076.93,nan,7879.640000
max_1-2-93,0.003331,2304.62,nan,6912.150000
max_1-2-94,0.005218,2252.22,nan,6848.100000
max_1-2-95,0.003057,2093.42,nan,8090.600000
max_1-2-96,0.002865,2026.12,nan,5282.840000
max_1-2-97,0.005268,2088.90,nan,6813.230000
max_1-2-98,0.005248,2074.27,nan,8048.340000
max_1-2-99,0.005014,2102.46,nan,7670.780000
max_1-2-100,0.003368,2207.27,nan,6577.230000
max_1-2-101,0.003069,2144.23,nan,8122.180000
max_1-2-102,0.003218,2088.90,nan,8150.400000
max_1-2-103,0.003359,2069.48,nan,8092.960000
max_1-2-104,0.002395,2256.74,nan,7082.380000
max_1-2-105,0.004215,2090.23,nan,6813.260000
max_1-2-106,0.003915,2080.12,nan,8064.190000
max_1-2-107,0.004982,2048.20,nan,7353.220000
max_2-0-0,0.006572,2162.58,nan,7125.570000
max_2-0-1,0.006714,2025.32,nan,5284.300000
max_2-0-2,0.003821,2361.81,nan,8030.170000
max_2-0-3,0.004812,2027.72,nan,5291.050000
max_2-0-4,0.004796,2025.59,nan,6266.910000
max_2-0-5,0.006716,2024.26,nan,5269.250000
